City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hithadhoo,-0.6,73.0833,300.76,74,100,3.71,MV,1676823605
1,cherskiy,68.75,161.3,241.43,95,100,1.38,RU,1676823606
2,hilo,19.7297,-155.09,293.77,94,100,0.45,US,1676823606
3,vermillion,42.7794,-96.9292,273.24,89,54,3.95,US,1676823362
4,cape town,-33.9258,18.4232,296.38,64,20,5.81,ZA,1676823607
5,urengoy,65.9667,78.3667,249.01,100,99,1.26,RU,1676823608
6,rikitea,-23.1203,-134.9692,299.71,73,41,7.72,PF,1676823609
7,itoigawa,37.0333,137.85,278.16,94,99,7.38,JP,1676823610
8,guerrero negro,27.9769,-114.0611,288.38,66,100,2.26,MX,1676823610
9,deputatskiy,69.3,139.9,232.96,99,41,2.33,RU,1676823611
10,kutum,14.2,24.6667,297.0,10,1,5.31,SD,1676823612
11,thompson,55.7435,-97.8558,239.24,75,0,2.06,CA,1676823613
12,cabo san lucas,22.8909,-109.9124,295.66,64,0,5.14,MX,1676823596
13,bafia,4.75,11.2333,310.83,12,3,0.34,CM,1676823614
14,victoria,22.2855,114.1577,294.18,80,99,4.02,HK,1676823615
15,busselton,-33.65,115.3333,293.08,63,0,6.45,AU,1676823454
16,oranjemund,-28.55,16.4333,294.16,70,40,5.14,NA,1676823615
17,thames,-37.1333,175.5333,286.45,88,12,1.59,NZ,1676823616
18,roma,43.2128,-75.4557,278.61,62,75,4.12,US,1676823328
19,lavrentiya,65.5833,-171.0,247.09,94,90,1.55,RU,1676823618
20,katsuura,35.1333,140.3,285.56,67,99,4.47,JP,1676823619
21,atuona,-9.8,-139.0333,298.88,80,63,5.23,PF,1676823619
22,klaksvik,62.2266,-6.589,282.66,97,100,10.74,FO,1676823620
23,kahului,20.8947,-156.47,294.73,94,0,2.24,US,1676823620
24,fortuna,40.5982,-124.1573,277.55,96,0,0.0,US,1676823621
25,iracoubo,5.4802,-53.2011,298.85,77,100,5.6,GF,1676823622
26,san patricio,28.017,-97.5169,294.08,72,93,1.83,US,1676823623
27,puerto ayora,-0.7393,-90.3518,303.13,91,20,4.47,EC,1676823623
28,los llanos de aridane,28.6585,-17.9182,291.01,78,75,4.12,ES,1676823624
29,ushuaia,-54.8,-68.3,281.94,66,75,8.75,AR,1676823478
30,melchor de mencos,17.0686,-89.1522,297.15,83,75,3.09,GT,1676823625
31,tuktoyaktuk,69.4541,-133.0374,239.15,68,40,2.57,CA,1676823625
32,ranikhet,29.65,79.4167,283.06,53,94,1.28,IN,1676823626
33,avarua,-21.2078,-159.775,297.18,94,27,1.54,CK,1676823626
34,cidreira,-30.1811,-50.2056,296.21,46,0,5.15,BR,1676823627
35,tiznit,29.5833,-9.5,294.02,25,0,7.5,MA,1676823628
36,east london,-33.0153,27.9116,299.67,78,0,3.6,ZA,1676823628
37,kapaa,22.0752,-159.319,294.33,94,75,2.06,US,1676823584
38,albany,42.6001,-73.9662,278.83,53,100,1.79,US,1676823629
39,dongsheng,39.8161,109.9776,268.4,27,0,2.56,CN,1676823630
40,new norfolk,-42.7826,147.0587,291.44,55,98,2.68,AU,1676823630
41,tura,25.5198,90.2201,292.4,46,0,1.62,IN,1676823631
42,punta arenas,-53.15,-70.9167,282.21,57,40,9.77,CL,1676823370
43,bluff,-46.6,168.3333,285.95,84,80,2.86,NZ,1676823631
44,torbay,47.6666,-52.7314,269.41,85,100,8.23,CA,1676823632
45,saldanha,-33.0117,17.9442,294.18,78,32,4.99,ZA,1676823633
46,trofors,65.5333,13.4063,273.08,98,87,2.37,NO,1676823633
47,nanortalik,60.1432,-45.2371,267.72,79,100,4.85,GL,1676823634
48,burtunay,42.9886,46.6303,271.73,80,100,2.34,RU,1676823634
49,hermanus,-34.4187,19.2345,293.04,72,14,7.99,ZA,1676823635
50,norman wells,65.282,-126.8329,249.17,70,100,2.06,CA,1676823635
51,marawi,7.9986,124.2928,293.79,89,100,2.1,PH,1676823636
52,qaanaaq,77.484,-69.3632,257.66,68,98,3.91,GL,1676823636
53,ponta do sol,32.6667,-17.1,292.66,62,34,1.3,PT,1676823637
54,vaini,-21.2,-175.2,297.24,100,40,0.0,TO,1676823637
55,barrow,71.2906,-156.7887,251.16,77,100,1.54,US,1676823638
56,kipushi,-11.7667,27.2333,292.41,92,100,2.53,CD,1676823638
57,kaitangata,-46.2817,169.8464,284.87,95,90,2.44,NZ,1676823639
58,luwuk,-0.9516,122.7875,298.65,91,100,0.9,ID,1676823640
59,georgetown,5.4112,100.3354,300.11,93,40,3.6,MY,1676823599
60,sur,22.5667,59.5289,296.06,71,6,2.94,OM,1676823640
61,srednekolymsk,67.45,153.6833,239.14,97,100,2.58,RU,1676823641
62,port alfred,-33.5906,26.891,298.25,83,1,0.89,ZA,1676823641
63,borger,52.9233,6.7931,281.19,80,100,3.07,NL,1676823642
64,lima,-12.0432,-77.0282,296.29,78,40,3.09,PE,1676823643
65,smithers,54.7804,-127.1743,274.33,80,100,1.03,CA,1676823371
66,prince rupert,54.3161,-130.3201,278.98,87,100,3.09,CA,1676823613
67,bredasdorp,-34.5322,20.0403,296.64,54,12,7.97,ZA,1676823643
68,leirvik,59.7798,5.5005,279.05,100,75,3.09,NO,1676823644
69,sohbatpur,28.5202,68.5434,298.35,13,91,2.06,PK,1676823644
70,balykshi,47.0667,51.8667,274.15,93,100,7.0,KZ,1676823645
71,carnarvon,-24.8667,113.6333,297.14,82,0,9.28,AU,1676823645
72,caravelas,-17.7125,-39.2481,303.06,56,100,3.85,BR,1676823645
73,souillac,-20.5167,57.5167,300.36,89,75,5.14,MU,1676823646
74,butaritari,3.0707,172.7902,299.83,77,77,2.26,KI,1676823646
75,dikson,73.5069,80.5464,265.41,95,100,7.21,RU,1676823646
76,atambua,-9.1061,124.8925,296.31,88,92,0.52,ID,1676823647
77,northam,51.0333,-4.2167,282.81,91,76,5.36,GB,1676823647
78,tondano,1.3038,124.9112,294.2,93,100,0.46,ID,1676823648
79,castro,-24.7911,-50.0119,290.37,80,100,3.27,BR,1676823648
80,walvis bay,-22.9575,14.5053,293.39,71,35,6.92,NA,1676823649
81,sampit,-2.5333,112.95,296.95,97,89,1.4,ID,1676823472
82,aviles,43.5547,-5.9248,287.14,80,75,5.14,ES,1676823649
83,tiksi,71.6872,128.8694,241.05,98,52,3.8,RU,1676823650
84,vondrozo,-22.8167,47.2833,294.63,90,20,1.18,MG,1676823650
85,leninkent,42.9689,47.352,280.45,66,97,2.59,RU,1676823650
86,victoria point,-27.5833,153.3,297.56,76,100,0.89,AU,1676823651
87,tasiilaq,65.6145,-37.6368,266.15,91,100,3.21,GL,1676823651
88,mahebourg,-20.4081,57.7,300.51,89,75,5.14,MU,1676823651
89,boende,-0.2167,20.8667,306.43,26,100,0.78,CD,1676823652
90,midleton,51.9153,-8.1805,284.89,90,56,6.65,IE,1676823652
91,sinnamary,5.3833,-52.95,298.14,83,100,5.61,GF,1676823652
92,inhambane,-23.865,35.3833,302.14,79,40,7.2,MZ,1676823653
93,belaya gora,68.5333,146.4167,228.48,100,78,1.28,RU,1676823653
94,mataura,-46.1927,168.8643,283.05,99,62,1.37,NZ,1676823653
95,constitucion,-35.3333,-72.4167,294.2,51,1,3.49,CL,1676823654
96,lasa,46.6166,10.7002,287.64,88,13,3.29,IT,1676823654
97,ancud,-41.8697,-73.8203,288.74,59,62,3.45,CL,1676823654
98,ostrovnoy,68.0531,39.5131,263.88,89,90,7.14,RU,1676823655
99,auki,-8.7676,160.7034,298.57,85,84,0.6,SB,1676823655
100,balkanabat,39.5108,54.3671,282.86,35,5,0.9,TM,1676823656
101,fare,-16.7,-151.0167,300.45,72,8,2.47,PF,1676823656
102,te anau,-45.4167,167.7167,287.64,92,96,1.15,NZ,1676823656
103,vanino,49.0869,140.2543,256.35,96,99,1.7,RU,1676823657
104,de-kastri,51.4667,140.7833,256.93,98,99,0.77,RU,1676823657
105,desaguadero,-16.5656,-69.0417,285.74,49,83,1.35,PE,1676823658
106,chapais,49.7834,-74.8492,265.03,89,100,5.23,CA,1676823469
107,arraial do cabo,-22.9661,-42.0278,304.13,70,0,7.72,BR,1676823658
108,champerico,14.3,-91.9167,304.45,51,34,2.3,GT,1676823659
109,laureles,26.1092,-97.4941,295.99,76,0,3.58,US,1676823659
110,barabai,-2.5833,115.3833,296.91,94,76,0.9,ID,1676823659
111,yellowknife,62.456,-114.3525,237.44,68,40,2.57,CA,1676823370
112,padre bernardo,-15.35,-48.5,303.79,45,51,3.35,BR,1676823660
113,bardiyah,31.7561,25.0865,288.27,67,67,4.84,LY,1676823660
114,nemuro,43.3236,145.575,270.87,97,100,5.24,JP,1676823660
115,port elizabeth,-33.918,25.5701,300.98,78,0,4.12,ZA,1676823661
116,okhotsk,59.3833,143.3,246.26,88,15,3.38,RU,1676823661
117,sibolga,1.7427,98.7792,298.48,88,99,1.29,ID,1676823662
118,clyde river,70.4692,-68.5914,247.28,64,100,1.54,CA,1676823662
119,vardo,70.3705,31.1107,269.14,93,100,6.17,NO,1676823663
120,port augusta,-32.5,137.7667,296.44,42,0,4.03,AU,1676823663
121,bria,6.5423,21.9863,308.81,12,98,3.14,CF,1676823663
122,kindu,-2.95,25.95,302.23,55,83,1.02,CD,1676823664
123,upernavik,72.7868,-56.1549,258.0,88,100,5.21,GL,1676823664
124,gornopravdinsk,60.05,69.9,259.12,99,100,1.02,RU,1676823665
125,mishan,45.55,131.8833,255.66,96,97,1.3,CN,1676823666
126,bamberg,49.8795,10.8863,283.06,80,89,4.43,DE,1676823666
127,valreas,44.3837,4.9908,289.05,65,100,7.73,FR,1676823667
128,urubicha,-15.3833,-62.95,296.07,39,84,2.76,BO,1676823667
129,lompoc,34.6391,-120.4579,286.92,48,29,1.54,US,1676823668
130,ilhabela,-23.7781,-45.3581,298.64,88,100,3.43,BR,1676823668
131,severo-yeniseyskiy,60.3725,93.0408,263.02,90,90,3.97,RU,1676823669
132,coquimbo,-29.9533,-71.3436,297.0,56,0,6.17,CL,1676823669
133,kieta,-6.2167,155.6333,298.88,84,92,0.68,PG,1676823669
134,hobart,-42.8794,147.3294,291.63,63,40,2.57,AU,1676823670
135,jalu,29.0331,21.5482,290.17,36,0,3.66,LY,1676823670
136,luderitz,-26.6481,15.1594,293.66,70,0,5.27,NA,1676823671
137,sao filipe,14.8961,-24.4956,295.53,71,84,3.7,CV,1676823671
138,flin flon,54.7682,-101.865,240.06,62,20,2.06,CA,1676823671
139,lata,40.1629,-8.3327,295.09,43,12,2.86,PT,1676823672
140,kodiak,57.79,-152.4072,273.88,69,0,0.0,US,1676823672
141,monrovia,6.3005,-10.7969,306.02,69,1,5.53,LR,1676823673
142,longyearbyen,78.2186,15.6401,261.06,61,40,3.6,SJ,1676823673
143,meulaboh,4.1363,96.1285,298.8,86,99,1.11,ID,1676823673
144,sola,-13.8833,167.55,300.62,75,90,5.98,VU,1676823674
145,bonthe,7.5264,-12.505,302.78,63,26,6.24,SL,1676823674
